phylum,class,order,family,genus,value
Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirga,2
Bacteroidetes,Flavobacteriia,Flavobacteriales,Blattabacteriaceae,Blattabacterium,26
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,582
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,55
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,1497
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gramella,265
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia,122
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Leeuwenhoekiella,172
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,95
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,118
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Psychroflexus,100
Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,79
Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,4097
Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,9
Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Ornithobacterium,7
Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,996
Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella,140
Bacteroidetes,Rhodothermi,Rhodothermales,Rhodothermaceae,Rhodothermus,61
Bacteroidetes,Rhodothermi,Rhodothermales,Rhodothermaceae,Salinibacter,109
Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Chitinophaga,537
Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,610
Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,335
Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,48
Chlamydiae,Chlamydiia,Chlamydiales,Parachlamydiaceae,Parachlamydia,39
Chlamydiae,Chlamydiia,Chlamydiales,Waddliaceae,Waddlia,87
Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,81
Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,272
Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,74
Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Prosthecochloris,30
Chlorobi,Chlorobia,Chloroherpetales,Chloroherpetaceae,Chloroherpeton,73
Chloroflexi,Anaerolineae,Anaerolineales,Anaerolinaceae,Anaerolinea,45
Chloroflexi,Chloroflexi,Chloroflexales,Chloroflexaceae,Chloroflexus,97
Chloroflexi,Chloroflexi,Chloroflexales,Oscillochloridaceae,Oscillochloris,28
Chloroflexi,Chloroflexi,Roseiflexales,Roseiflexaceae,Roseiflexus,146
Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides,332
Chloroflexi,Dehalococcoidetes,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas,38
Chloroflexi,Thermobacula,Thermobaculales,Thermobaculaceae,Thermobaculum,32
Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispirillum,41
Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Cenarchaeum,6
Crenarchaeota,Thaumarchaeota,Cenarchaeales,Cenarchaeaceae,Nitrosopumilus,5
Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,3
Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,4
Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Metallosphaera,9
Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,56
Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,8
Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,4
Cyanobacteria,Gloeobacterophycideae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,65
Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Anabaena,156
Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Cylindrospermopsis,10
Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae,Dolichospermum,1
